san2-thiu-san2-thiu瘦抽瘦抽,"Tsit e tsa9-boo2 senn liau2 ~, kam2 e7 senn?"
古意古意,
阿宏人老老實實,
阿莉kau-kau-kuai3-kuai3,
阿志人客客氣氣,
阿文粗粗魯魯,
阿玲人客氣客氣,
阿傑kau-kuai3-kau-kuai3,
阿媽粗魯粗魯,
糊里糊塗,
,
,
ABCC,
鬧熱滾滾,
清氣溜溜,
無煩無惱,
無明無朗lang,
無聲無說,
無me5無日,
無理無由,
無要無緊,
無依無ua2,
有情有義,
huah去huah倒-任性,
揣空揣phang,
無代無誌,
,
,
ABCB,
皮癢骨癢,
頭-tam3-袂-tam3（垂頭喪氣）,
喙笑目笑,
kha-lo2-手-lo2,
lo2-kha-lo2-手,
,
,
,
長lo3-lo3,
滑溜溜,
四四角角,
tin-tin-tang-tang（鈴鐺聲）,
,
,
甜甜仔,
芳芳仔,
冗冗仔,
貴貴仔,
輕輕仔,
順順仔,
久久仔,久久仔食一擺外口，阿爸的心情看起來真心適。
罕罕仔,
笑笑仔,伊聽了笑笑仔無講話就做伊離開矣。
,
,
假仙假tak,
假鬼假怪,
費氣費tak,
hau-siau5-hau-tak,
落氣落tak,
囉哩囉唆,
,
,
棉死棉爛,
ki-li-ku-lu肚子餓的聲音,
a-li-a-tsa很髒的意思:,
,
金金看,
phu-phu-光,
iann7-iann7-飛,
溜溜去,
tshiang3-tshiang3-滾,
khuh-khuh-嗽,
,
,
ki-ki-thok-thok指指點點,
心心念念,
phoo5-phoo5-thann2-thann2吹噓,
giu2-giu2-拉拉（拉扯衣服）,
,
臭konn5-konn5,
甜but-but,
tsat-thong-thong（擠滿了的意思）,
hiong5-piah-piah（兇暴的意思）,
ling7-hoo3-hoo3（松垮垮的意思）,
青sun2-sun2,
番-pa3-pa3（很番）,
gong7-ma3-ma3（傻呼呼）,
,
,
沙沙,
柴柴,
霧霧,
水水,
sau-sau,
一e一e,
一領一領,
兩蕊兩蕊,
糊糊,
粉粉,
清清,
ta-ta（乾燥）,
,
li-li-lak-lak,
mi1-mi1-mau3-mau3（凹凸不平）,
huainn5-huainn5-ke5-ke5（橫橫，橫七樹八）,
hi-hi-hoo3-hoo3（稀稀戽戽，不細心）,
大魚大肉,
,
,
暗bing-bong,
臭mi-mo,
湆-thin-thong,
瘦-pi-pa,
tam-lih-lok,
huainn-pi3-pa3,
澀-ki-kuainn,
歪-ko-tshih-tshuah:,
長long-long,
薄-li-si,
滑-liu3-siu3,
垃圾-li1-lo1,
,
,
惦惦,你給我惦惦
