出處,華語,漢字,臺羅,,例句1,例句2,音檔位置
臺灣閩南語常用詞辭典,吉他,gì-tà,gì-tà,,到今嘛是足濟少年人會彈gì-tà去逐查某囡仔。,,868-872
臺灣閩南語常用詞辭典,猜拳,giāng,giāng,,咱來giāng看啥先出來比賽。,咱來jia̋ng-kín看啥先出來比賽。,929-934
臺灣閩南語常用詞辭典,牛蒡,gōo-bōo,gōo-bōo,,gōo-bōo較柯、較粗絲，嘛幫助咱消化，你愛加食一點仔。,,950-954
臺灣閩南語常用詞辭典,高爾夫球,goo-lú-huh,goo-lú-huh,,goo-lú-huh是一款蓋高級的運動。,ko-ní-kiû是一款蓋高級的運動。,959-963
臺灣閩南語常用詞辭典,口琴,ha-móo-ní-khah,ha-móo-ní-khah,,x,,
臺灣閩南語常用詞辭典,洋火腿,há-muh,há-muh,,Há-muh𩛩sio̍k-pháng是蓋濟囡仔上愛食的。,,1038-1041
臺灣閩南語常用詞辭典,肺結核,ha̋i-khé-khá-kuh,ha̋i-khé-khá-kuh,,今ha̋i-khé-khá-kuh已經毋是啥物傷過嚴重的病矣。,,1048-1055
臺灣閩南語常用詞辭典,包租汽車,hài-ià,hài-ià,,咱會用得租一台hài-ià去𨑨迌。,,1073-1079
臺灣閩南語常用詞辭典,高級轎車,hài-ià,hài-ià,,彼hài-ià是烏頭仔車啦。,,1083-1085
臺灣閩南語常用詞辭典,西裝頭,hái-kat-lá,hái-kat-lá,,你若欲去食桌乎，會當先予人共頭siat-tooh做hái-kat-lá。,你先莫趕食桌，去對面彼間頭毛店siat-tooh siat-tooh咧，做一粒hái-kat-lá頭才來去。,1107-1114
臺灣閩南語常用詞辭典,方向盤,ha̋n-tóo-luh,ha̋n-tóo-luh,,落雨天乎，路滑滑，彼ha̋n-tóo-luh著掠予絚。,,1136-1141
臺灣閩南語常用詞辭典,飯鍋,ha̋ng-góo,ha̋ng-góo,,x,,
臺灣閩南語常用詞辭典,檜木,hi-nóo-khih,hi-nóo-khih,,這咱厝內的裝潢是用hi-nóo-khih的，較毋驚會去予蟲蛀，所以上無擋一二十年無問題啦。,,1177-1182
臺灣閩南語常用詞辭典,荷爾蒙,hoo-lú-bóng,hoo-lú-bóng,,彼雞皮莫提予囡仔食啦，內底hoo-lú-bóng蓋厚。,,1187-1193
臺灣閩南語常用詞辭典,飯店,hoo-té-luh,hoo-té-luh,,這幾年無啥中國旅客，遐的hoo-té-luh強欲倒了了去矣。,,1202-1208
臺灣閩南語常用詞辭典,旅社,hoo-té-luh,hoo-té-luh,,x,,
臺灣閩南語常用詞辭典,浴桶,hú-looh,hú-looh,,你就共燒水倒落去hú-looh桶，倒予滇，按呢就會使浸一下。,,1271-1277
臺灣閩南語常用詞辭典,風呂,hú-looh,hú-looh,,x,,
臺灣閩南語常用詞辭典,洗澡,hú-looh,hú-looh,,x,,
臺灣閩南語常用詞辭典,黑市,iá-mih,iá-mih,,x,,
臺灣閩南語常用詞辭典,引擎,ia̋n-jín,ia̋n-jín,,你彼台的ia̋n-jín聲怪怪，你可能愛揣人來修理一下較妥當。,,1344-1347
臺灣閩南語常用詞辭典,羊羹,iő-káng,iő-káng,,花蓮玉里的iő-káng足有名的，蓋適合紮轉去做伴手。,,1385-1390
臺灣閩南語常用詞辭典,預備,ió-bih,ió-bih,,你愛準備一寡做ió-bih的，等咧若無夠會使閣用。,我朋友連鞭就欲來矣，才麻煩你替我ió-bih一寡物件請人食。,1578-1583
臺灣閩南語常用詞辭典,百合花,iú-lih,iú-lih,,這iú-lih誠芳喔，你會用得囥佇客廳。,,1606-1611
臺灣閩南語常用詞辭典,吉魯巴,ji-lú-bah,ji-lú-bah,,彼ji-lú-bah踅來踅去，跳甲我頭殼楞楞，活欲吐腸頭。,彼對翁仔某跳ji-lú-bah跳甲誠好。,"1618-1623,1632-1635"
臺灣閩南語常用詞辭典,拉鍊,jiak-kuh,jiak-kuh,,這jiak-kuh著愛用無仝款的mi-sín來車。,這jiak-kuh著愛用無仝款的mi-sín才車會來。,1661-1668
臺灣閩南語常用詞辭典,夾克,jiàn-bà,jiàn-bà,,天氣冷矣，愛加疊一領jiàn-bà。,,1727-1731
臺灣閩南語常用詞辭典,高級,jió-toh,jió-toh,,阮這物件已經是上jió-toh的，毋好閣嫌矣。,,1807-1810
臺灣閩南語常用詞辭典,上等,jió-toh,jió-toh,,阮遮的物件攏是上jió-toh的，希望你會當欣賞。,,1824-1827
臺灣閩南語常用詞辭典,皮包,kha-báng,kha-báng,,咱明仔載就欲來去𨑨迌矣，你愛共kha-báng整理予好。,,1929-1934
臺灣閩南語常用詞辭典,文件箱,kha-báng,kha-báng,,天猶未光，阿兄早頓紮咧、kha-báng揹咧就緊出門趕火車。,,
臺灣閩南語常用詞辭典,手提包,kha-báng,kha-báng,,咱欲來去踅街矣，先予我共一寡物件囥入去kha-báng。,咱欲來去踅街矣，先予我共一寡物件囥入去ha̋n-tóo-pá-kuh。,1951-1956
臺灣閩南語常用詞辭典,卡拉OK,kha-lá-óo-khe,kha-lá-óo-khe,,練歌的方法百百款，有的是家己一个走去kha-lá-óo-khe練歌。,有的人練歌，只是為著去kha-lá-óo-khe的時陣，會使佇朋友的面頭前奢颺一下。 ,2036-2040
臺灣閩南語常用詞辭典,照相機,kha-mé-lah,kha-mé-lah,,這kha-mé-lah是canon的，誠貴。,,1960-1964
臺灣閩南語常用詞辭典,開麥拉,kha-mé-lah,kha-mé-lah,,x,,
臺灣閩南語常用詞辭典,目錄,kha-tá-lok-guh,kha-tá-lok-guh,,來去買物件進前，上好是先來看一下kha-tá-lok-guh。,,2058-2062
臺灣閩南語常用詞辭典,窗簾,kha-tián,kha-tián,,這馬透中晝乎，日頭當猛，緊共kha-tián搝起來。,,2064-2072
臺灣閩南語常用詞辭典,母親,khà-sàng,khà-sàng,,欲過年矣，khà-sàng這幾工攏咧灶跤無閒。,,2091-2097
臺灣閩南語常用詞辭典,母親,khà-tsiàng,khà-tsiàng,,欲過年矣，khà-tsiàng這幾工攏咧灶跤無閒。,,
臺灣閩南語常用詞辭典,付款,kha̋n-jióo,kha̋n-jióo,,x,,
臺灣閩南語常用詞辭典,算帳,kha̋n-jióo,kha̋n-jióo,,x,,
臺灣閩南語常用詞辭典,結帳,kha̋n-jióo,kha̋n-jióo,,代誌做到遮就算是kha̋n-jióo矣。,,2183-2188
臺灣閩南語常用詞辭典,看板,kha̋ng-páng,kha̋ng-páng,,Hooh，你畫的這塊kha̋ng-páng真特別，這馬已經罕得有人按呢畫矣。,,2194-2201
臺灣閩南語常用詞辭典,招牌,kha̋ng-páng,kha̋ng-páng,,這塊kha̋ng-páng面頂的人穿甲誠奅。毋知影若我穿矣，是毋是嘛會當像伊仝款。,,2217-2222
臺灣閩南語常用詞辭典,蕃茄醬,khe-tsiap-puh,khe-tsiap-puh,,你會用得摻一寡khe-tsiap-puh落去炒。,,2235-2244
臺灣閩南語常用詞辭典,情緒,khi-móo-tsih,khi-móo-tsih,,彼个紅嬰仔今仔日khi-móo-tsih真䆀喔。,,2251-2256
臺灣閩南語常用詞辭典,奇檬子,khi-móo-tsih,khi-móo-tsih,,你看起來khi-móo-tsih真袂䆀喔，拄著啥物好康的嘛講予阮聽一下。,,2260-2262
臺灣閩南語常用詞辭典,心情,khi-móo-tsih,khi-móo-tsih,,看起來咱心肝的今仔日khi-móo-tsih無好喔，是啥人欺負你啊？,,
臺灣閩南語常用詞辭典,公里,khí-looh,khí-looh,,對花蓮市區遮到豐田乎，差不多愛二十二khí-looh。,,2283-2288
臺灣閩南語常用詞辭典,綁腿,khiā-háng,khiā-háng,,x,,
臺灣閩南語常用詞辭典,郵票,khit-teh,khit-teh,,x,,
臺灣閩南語常用詞辭典,色情幽會,khiű-khé,khiű-khé,,遐的政治人物攏嘛有予報紙報出來講揣人去khiű-khé。,,2413-2419
臺灣閩南語常用詞辭典,休憩,khiű-khé,khiű-khé,,阿基師去khiű-khé去予人查著。,,2431-2434
臺灣閩南語常用詞辭典,休息,khiű-khé,khiű-khé,,咱已經行一段路矣，先揣一間hoo-té-luh khiű-khé一下好無？,,
臺灣閩南語常用詞辭典,杯子,khok-puh,khok-puh,,你欲啉茶是無？這塊khok-puh無人用，你會用得提去啉。,,
臺灣閩南語常用詞辭典,混凝土,khōng-ku-lí,khōng-ku-lí,,路當咧埋水管，等埋好勢會khòng khōng-ku-lí。,,
臺灣閩南語常用詞辭典,控固力,khōng-ku-lí,khōng-ku-lí,,外口當咧修路，修理了會鋪 khōng-ku-lí。,,
臺灣閩南語常用詞辭典,海帶,khòng-buh,khòng-buh,,逐家攏愛啉 khòng-buh 湯。,,
臺灣閩南語常用詞辭典,昆布,khòng-buh,khòng-buh,,各位媽媽若欲𤉙湯，khòng-buh佮mí-sooh是上著味的。,,
臺灣閩南語常用詞辭典,霍亂,khoo-lé-lah,khoo-lé-lah,,這馬無啥人會著khoo-lé-lah矣。,,
臺灣閩南語常用詞辭典,賄賂,khoo-mí-sióng,khoo-mí-sióng,,建設公司共政府官員oo-se，in董的已經去予關起來矣。,,
臺灣閩南語常用詞辭典,回扣,khoo-mí-sióng,khoo-mí-sióng,,你這擺𤆬團有提偌濟khoo-mí-sióng？,你這擺𤆬團，一定提蓋濟khoo-mí-sióng乎？,
臺灣閩南語常用詞辭典,大衣,khòo-tòo,khòo-tòo,,這領khòo-tòo是阮媽媽在生上佮意的衫。,,
臺灣閩南語常用詞辭典,變速器,khu-lá-tsih,khu-lá-tsih,,x,,
臺灣閩南語常用詞辭典,離合器,khu-lá-tsih,khu-lá-tsih,,這台車是手排的，著愛會曉用khu-lá-tsih才有才調駛。,,
臺灣閩南語常用詞辭典,面霜,khu-lì-mù,khu-lì-mù,,天氣冷矣，你的面愛抹一寡khu-lì-mù，面才袂必必。,天氣冷矣，你的面愛抹一寡khu-lì-mù，面較袂hau-hau。,
臺灣閩南語常用詞辭典,克林姆,khu-lì-mù,khu-lì-mù,,這塊pháng內底的餡是khu-lì-mù的，囡仔人一定愛食。,這塊pháng內底的khu-lì-mù猶閣燒燒，囡仔人一定愛食。,
臺灣閩南語常用詞辭典,奶油,khu-lì-mù,khu-lì-mù,,x,,
臺灣閩南語常用詞辭典,收音機,la-jí-ooh,la-jí-ooh,,電腦時行了後，聽la-jí-ooh的人就沓沓仔較少矣。,,
臺灣閩南語常用詞辭典,球拍,la-kiat-tooh,la-kiat-tooh,,人咧招拍球，緊來去借一支la-kiat-tooh。,,
臺灣閩南語常用詞辭典,彈珠汽水,la-mú-neh,la-mú-neh,,x,,
臺灣閩南語常用詞辭典,沒問題,la̋i-jiòo-bù,la̋i-jiòo-bù,,這件代誌到今應該算是la̋i-jiòo-bù矣。,,
臺灣閩南語常用詞辭典,安全,la̋i-jiòo-bù,la̋i-jiòo-bù,,安啦，遮有我佇咧，一定la̋i-jiòo-bù啦。,,
臺灣閩南語常用詞辭典,放心,la̋i-jiòo-bù,la̋i-jiòo-bù,,做你放心，有我佇遮，一定la̋i-jiòo-bù啦。,,
臺灣閩南語常用詞辭典,無袖背心,la̋i-lín-gù,la̋i-lín-gù,,天氣變熱，足濟查埔人咧穿la̋i-lín-gù。,,
臺灣閩南語常用詞辭典,打火機,lài-tah,lài-tah,,買香的時陣，頭家會送一寡lài-tah。,我想欲食薰，你有lài-tah無？,
臺灣閩南語常用詞辭典,檸檬,le-bóng,le-bóng,,這項菜內底有摻le-bóng著毋？Le-bóng味真厚真芳。,,
臺灣閩南語常用詞辭典,蕾絲花邊,lè-sìr,lè-sìr,,有一寡cosplay的衫是有車lè-sìr的。,,
臺灣閩南語常用詞辭典,臺車,li-á-khah,li-á-khah,,彼台li-á-khah後壁載足濟物件。,,
臺灣閩南語常用詞辭典,拖車,li-á-khah,li-á-khah,(自行車後面的兩輪拖車),彼台li-á-khah的後壁車足濟物件。,,
臺灣閩南語常用詞辭典,台車,li-á-khah,li-á-khah,,彼台li-á-khah的頂懸載足濟物件。,,
臺灣閩南語常用詞辭典,煤球,lia̋n-táng,lia̋n-táng,,古早人攏用lia̋n-táng起火。,,
臺灣閩南語常用詞辭典,紅蘿蔔,li̋n-jín,li̋n-jín,,Li̋n-jín加食一寡對目睭蓋好蓋有幫助。,加食Li̋n-jín對目睭有真大的幫助。,
臺灣閩南語常用詞辭典,蘋果,lìn-gòo,lìn-gòo,,較早lìn-gòo是蓋貴重的果子。,較早有一款lìn-gòo叫做五爪lìn-gòo，是蓋貴重的物件。,"3173-3176, 3177-3181"
臺灣閩南語常用詞辭典,螺絲起子,loo-lái-bà,loo-lái-bà,,你若無提loo-lái-bà捘會捘袂絚。,,3201-3206
臺灣閩南語常用詞辭典,里脊肉,lòo-suh,lòo-suh,,彼lòo-suh炒筍絲蓋好食，蓋著味喔。,,3226-3228
臺灣閩南語常用詞辭典,橡膠拖鞋,lóo-lí-á,lóo-lí-á,,猶原有袂少人會穿lóo-lí-á。,有朋友感覺穿lóo-lí-á出門是真失禮的代誌。,3276-3283
臺灣閩南語常用詞辭典,瘧疾,ma-lá-lí-á,ma-lá-lí-á,,先生，伊這幾工拍寒拍熱，敢會是著ma-lá-lí-á？,Sia̋n-sé，伊這幾工連鞭喝寒連鞭喝熱，敢是著ma-lá-lí-á？,3330-3334
臺灣閩南語常用詞辭典,馬拉松,ma-lá-sóng,ma-lá-sóng,,毋好猶未減肥就去參加ma-lá-sóng，會死人。,,3351-3356
臺灣閩南語常用詞辭典,馬殺雞,ma-sà-tsì,ma-sà-tsì,,你人無爽快會用得去予人ma-sà-tsì一下。,,3365-3369
臺灣閩南語常用詞辭典,按摩,ma-sà-tsì,ma-sà-tsì,,你人無爽快會用得去hông ma-sà-tsì一下。,,
臺灣閩南語常用詞辭典,色情按摩,ma-sà-tsì,ma-sà-tsì,,這看價數就知影毋是做一般的ma-sà-tsì。,,3393-3397
臺灣閩南語常用詞辭典,麥克風,mái-kù,mái-kù,,彼个阿伯逐擺提著mái-kù就毋肯放，你愛較注意毋好予伊上台。,彼个阿桑見擺攑mái-kù攏袂癮放，實在有影是乎。,"3405-3411, 3413-3418"
臺灣閩南語常用詞辭典,三夾板,me-lí-á,me-lí-á,,你若無棄嫌，會當用me-lí-á枋落去做裝潢。,你若無棄嫌，用me-lí-á枋lueh做裝潢就真媠矣。,3442-3449
臺灣閩南語常用詞辭典,香瓜,me-lóng,me-lóng,,最近me-lóng已經大出矣，會當加買一點仔。,,3462-3465
臺灣閩南語常用詞辭典,名片,mè-sì,mè-sì,,你好，這是我的mè-sì，面頂有阮公司的住址佮電話。,,3490-3493
臺灣閩南語常用詞辭典,裁縫車,mi-sín,mi-sín,,阿媽的mi-sín會當車足濟款物件出來。,,3505-3509
臺灣閩南語常用詞辭典,縫紉機,mi-sín,mi-sín,,x,,
臺灣閩南語常用詞辭典,味噌,mí-sooh,mí-sooh,,你欲摻mí-sooh進前愛先試一下仔鹹汫，有的鹹汫無啥仝款。,,3528-3534
臺灣閩南語常用詞辭典,馬達,mòo-tà,mòo-tà,,彼mòo-tà有淡薄仔燒燒矣，愛歇睏一下毋好予伊紡歹去。,,23540-3545
臺灣閩南語常用詞辭典,耐龍,na̋i-lóng,na̋i-lóng,,其實有蓋濟款衫攏用na̋i-lóng做的。,,3548-3554
臺灣閩南語常用詞辭典,尼龍,na̋i-lóng,na̋i-lóng,,x,,
臺灣閩南語常用詞辭典,領帶,ne-kut-tái,ne-kut-tái,,入去正式的所在進前，攏愛先掛ne-kut-tái。,,3561-3570
臺灣閩南語常用詞辭典,腦筋不正常,nőo-sín,nőo-sín,,伊頭殼nőo-sín去矣莫插伊。,,3575-3579
臺灣閩南語常用詞辭典,海苔,nóo-lih,nóo-lih,,這nóo-lih有摻麻仔足芳呢！,,3586-3595
臺灣閩南語常用詞辭典,歐巴桑,oo-bá-sán,oo-bá-sán,(歐巴桑、對不特定年長女性的稱呼),Oo-bá-sán你好，你欲愛的物件佇遮。,,3597-3604
臺灣閩南語常用詞辭典,歐吉桑,oo-jí-sáng,oo-jí-sáng,(歐吉桑、對不特定年長男性的稱呼),Oo-jí-sáng失禮，你講話較慢咧，我拄才聽無清楚。,,3606-3610
臺灣閩南語常用詞辭典,黑輪,oo-lián,oo-lián,,Seven-eleven的oo-lián規工攏有咧賣。,,3612-3617
臺灣閩南語常用詞辭典,人偶,oo-lín-gióo,oo-lín-gióo,,這身oo-lín-gióo妝甲媠媠媠閣袂傷貴呢。,,3620-3626
臺灣閩南語常用詞辭典,洋娃娃,oo-lín-gióo,oo-lín-gióo,,這間店賣的oo-lín-gióo攏蓋貴。,,3626-3629
臺灣閩南語常用詞辭典,大姐,oo-nè-sàng,oo-nè-sàng,,Oo-nè-sàng你的氣口嘛莫遐爾歹，你先坐落來，有啥物代誌咱好好仔講啦乎。,,3640-3646
臺灣閩南語常用詞辭典,機車,oo-tóo-bái,oo-tóo-bái,,Oo-tóo-bái是非常平常的交通工具，全台灣揣無人袂曉騎oo-tóo-bái的。,,3655-3661
臺灣閩南語常用詞辭典,摩托車,oo-tóo-bái,oo-tóo-bái,,x,,
臺灣閩南語常用詞辭典,大衣,òo-bà,òo-bà,(長外套、長大衣),天氣咧反寒矣，疊一領òo-bà較好。,,3666-3672
臺灣閩南語常用詞辭典,柏青哥,pha-tsìn-kòo,pha-tsìn-kòo,,Pha-tsìn-kòo這陣佇台灣較無流行矣。,,3674-3678
臺灣閩南語常用詞辭典,百分比,pha̋-siàn-tòo,pha̋-siàn-tòo,,Tsioo-kóo-lè-tòo乎愛選七十五pha̋-siàn-tòo以上的對身體較好。,,3681-3686
臺灣閩南語常用詞辭典,百分率,pha̋-siàn-tòo,pha̋-siàn-tòo,,台北市長的候選人內面，柯P的支持度pha̋-siàn-tòo較懸。,,3692-3696
臺灣閩南語常用詞辭典,麵包,pháng,pháng,,這間pháng店內底的pháng芳甲敢若啥，敢是有摻一寡阿沙不魯的化學藥品？,,3702-3716
臺灣閩南語常用詞辭典,爆胎,phàng-kù,phàng-kù,,,,
臺灣閩南語常用詞辭典,鋼琴,phi-á-nooh,phi-á-nooh,,對學音樂的人來講，會曉搬phi-á-nooh是蓋基本的代誌。,,3729-3735
臺灣閩南語常用詞辭典,鐵鉗,phiàn-tsih,phiàn-tsih,,啥人去鬥提一支phiàn-tsih來共釘仔鋏予開。,,3744-3751
臺灣閩南語常用詞辭典,桌球,phi̋n-phóng,phi̋n-phóng,,咱會使拍phi̋n-phóng來練身體。,,3762-3766
臺灣閩南語常用詞辭典,乒乓球,phi̋n-phóng,phi̋n-phóng,,Phi̋n-phóng是一項對身體真好的運動。,,
臺灣閩南語常用詞辭典,手動抽水機,phòng-phù,phòng-phù,,水敢若紡袂無啥會起去，愛閣鬥一台phòng-phù來鬥紡。,,3774-3782
臺灣閩南語常用詞辭典,幫浦,phòng-phù,phòng-phù,,x,,
臺灣閩南語常用詞辭典,螺旋槳,phu-lóo-phé-lá,phu-lóo-phé-lá,,彼台直升機的phu-lóo-phé-lá開始咧轉矣，咱愛閃較開的，才袂有危險。,有人佇風颱天peh山煞無去矣，地方政府就派一台phu-lóo-phé-lá緊共伊揣轉來。,3784-3793
臺灣閩南語常用詞辭典,布魯司,pu-lù-sù,pu-lù-sù,,彼對翁仔某學的是正派的pu-lù-sù，跳甲誠好看。,彼對翁仔某跳的pu-lù-sù真正派。,3817-3821
臺灣閩南語常用詞辭典,沙卡哩巴,sa-khá-lí-bah,sa-khá-lí-bah,,Sa-khá-lí-bah內底搵料的味是有較重淡薄仔。,Sa-khá-lí-bah內底搵料的味蓋重。,3830-3836
臺灣閩南語常用詞辭典,櫻花,sa-khú-lah,sa-khú-lah,,佇日本，sa-khú-lah開的彼當陣規坪紅記記蓋媠。,,3852-3858
臺灣閩南語常用詞辭典,生魚片,sa-sí-mih,sa-sí-mih,,食日本料理定定會點sa-sí-mih來食。,食sa-sí-mih的時會使搵一寡ua-sá-bih佮豆油。,3617-3667
臺灣閩南語常用詞辭典,優待,sa̋-bì-sù,sa̋-bì-sù,(額外優待),這項菜是阮頭家招待的，予恁sa̋-bì-sù一下。,,3870-3877
臺灣閩南語常用詞辭典,優惠,sa̋-bì-sù,sa̋-bì-sù,,阮買遮爾濟物件，頭家你嘛sa̋-bì-sù一下算較俗咧。,你才買二百箍就叫我共你sa̋-bì-sù，你食較䆀啦。,
臺灣閩南語常用詞辭典,尺寸,sài-sù,sài-sù,,你先量一下仔sài-sù，才袂講買轉去發覺穿袂落去。,你買家具進前先量一下仔sài-sù。,"3887-3895,3895-3900"
臺灣閩南語常用詞辭典,保險套,sak-khuh,sak-khuh,,應該愛對國小、初中就開始教sak-khuh按怎用較安全。,,3901-3911
臺灣閩南語常用詞辭典,樣品,sa̋m-phú-luh,sa̋m-phú-luh,,咱買物件進前會使著先看sa̋m-phú-luh看覓有佮意無。,,3915-3920
臺灣閩南語常用詞辭典,樣本,sa̋m-phú-luh,sa̋m-phú-luh,,x,,
臺灣閩南語常用詞辭典,秋刀魚,sàn-bah,sàn-bah,,x,,
臺灣閩南語常用詞辭典,西裝,se-bí-looh,se-bí-looh,,到今，查埔囡仔若欲參加正式的宴會，嘛是仝款愛穿se-bí-looh。,,3934-3941
臺灣閩南語常用詞辭典,安全,sè-hù,sè-hù,,咱按呢做應該是無問題sè-hù啦。,,3949-3955
臺灣閩南語常用詞辭典,修飾,si-á-geh,si-á-geh,,你先粗坯做一下才閣來si-á-geh就好。,,3965-3969
臺灣閩南語常用詞辭典,潤飾,si-á-geh,si-á-geh,,x,,
臺灣閩南語常用詞辭典,照片,sia-sín,sia-sín,,x,,
臺灣閩南語常用詞辭典,造型,siat-tooh,siat-tooh,,咱欲去予人請進前先來去siat-tooh一下。,,3989-3994
